,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,PxV,Day_Perc_Change,Trend,Rolling_14,bollinger_upper,bollinger_lower
64,TCS,EQ,2017-08-14,2496.05,2503.0,2509.9,2463.0,2468.0,2469.4,2487.26,393252,978120247.85,29766,227374,57.82,8,2017,971096488.8,-0.010676869453736916,Slight or No change,2499.7785714285724,3427.1984551756022,1572.3586876815427
65,TCS,EQ,2017-08-16,2469.4,2484.0,2543.8,2465.2,2490.15,2492.35,2487.66,686670,1708202481.35,44396,437761,63.75,8,2017,1711421974.5,0.009293755568154037,Slight or No change,2495.232142857144,3422.6520266041734,1567.8122591101144
66,TCS,EQ,2017-08-17,2492.35,2500.7,2505.0,2462.1,2485.55,2485.65,2480.04,876187,2172977684.8,40452,613453,70.01,8,2017,2177894216.55,-0.002688225971472669,Slight or No change,2495.514285714287,3422.9341694613167,1568.0944019672572
67,TCS,EQ,2017-08-18,2485.65,2474.0,2549.9,2471.4,2515.0,2513.8,2520.86,1418678,3576281721.8,77980,837580,59.04,8,2017,3566272756.4,0.011325005531752195,Slight or No change,2497.62142857143,3425.04131231846,1570.2015448244003
68,TCS,EQ,2017-08-21,2513.8,2505.5,2549.0,2494.3,2513.2,2528.8,2534.62,1152417,2920941547.7,54265,747946,64.9,8,2017,2914232109.6000004,0.005967061818760389,Slight or No change,2500.264285714287,3427.6841694613167,1572.8444019672572
69,TCS,EQ,2017-08-22,2528.8,2523.0,2539.5,2492.0,2500.0,2497.55,2516.08,565663,1423251637.7,35029,287383,50.8,8,2017,1412771625.65,-0.012357639987345737,Slight or No change,2499.97142857143,3427.3913123184593,1572.5515448244003
70,TCS,EQ,2017-08-23,2497.55,2505.0,2516.8,2473.15,2491.6,2489.45,2487.52,781136,1943093967.15,39129,512785,65.65,8,2017,1944599015.2,-0.003243178314748629,Slight or No change,2501.0892857142867,3428.5091694613166,1573.669401967257
71,TCS,EQ,2017-08-24,2489.45,2497.7,2517.95,2486.15,2498.05,2496.6,2495.82,811954,2026487435.65,42614,596982,73.52,8,2017,2027124356.4,0.0028721203478681012,Slight or No change,2501.6000000000013,3429.0198837470307,1574.1801162529716
72,TCS,EQ,2017-08-28,2496.6,2504.6,2505.4,2461.0,2491.0,2487.3,2479.76,1018398,2525378754.95,54931,696983,68.44,8,2017,2533061345.4,-0.003725066089882101,Slight or No change,2499.064285714287,3426.484169461317,1571.6444019672574
73,TCS,EQ,2017-08-29,2487.3,2482.0,2496.0,2463.95,2475.05,2470.85,2472.97,656301,1623010550.65,23498,432172,65.85,8,2017,1621621325.85,-0.006613597073131583,Slight or No change,2496.7357142857154,3424.155598032745,1569.3158305386858
74,TCS,EQ,2017-08-30,2470.85,2481.0,2490.0,2460.1,2485.0,2484.55,2478.46,485391,1203020937.15,24262,240993,49.65,8,2017,1205978209.0500002,0.005544650626302827,Slight or No change,2495.414285714287,3422.8341694613164,1567.9944019672573
75,TCS,EQ,2017-08-31,2484.55,2485.0,2504.4,2466.65,2498.0,2496.35,2489.91,892332,2221830190.8,47192,591710,66.31,8,2017,2227572988.2,0.004749350989112554,Slight or No change,2494.2964285714297,3421.716312318459,1566.8765448244
76,TCS,EQ,2017-09-01,2496.35,2480.0,2498.05,2436.55,2460.6,2456.45,2452.84,851165,2087770465.35,40185,447974,52.63,9,2017,2090844264.25,-0.01598333567007837,Slight or No change,2490.367857142858,3417.7877408898876,1562.9479733958285
77,TCS,EQ,2017-09-04,2456.45,2453.1,2461.0,2438.0,2457.0,2456.2,2452.06,531272,1302711213.65,29763,314907,59.27,9,2017,1304910286.4,-0.00010177288363288907,Slight or No change,2487.521428571429,3414.9413123184586,1560.1015448243995
78,TCS,EQ,2017-09-05,2456.2,2460.0,2490.0,2437.05,2484.65,2484.35,2463.13,582997,1435996999.1,27861,390654,67.01,9,2017,1448368596.95,0.01146079309502479,Slight or No change,2488.5892857142862,3416.0091694613157,1561.1694019672566
79,TCS,EQ,2017-09-06,2484.35,2468.15,2474.85,2450.0,2453.0,2453.2,2454.77,614382,1508166251.5,37430,428731,69.78,9,2017,1507201922.4,-0.01253849095336812,Slight or No change,2485.7928571428574,3413.212740889887,1558.3729733958278
80,TCS,EQ,2017-09-07,2453.2,2458.0,2468.4,2451.05,2460.0,2460.1,2458.6,435318,1070273154.6,35496,314028,72.14,9,2017,1070925811.8,0.0028126528615686213,Slight or No change,2483.967857142857,3411.387740889887,1556.5479733958275
81,TCS,EQ,2017-09-08,2460.1,2453.75,2474.0,2452.55,2465.15,2470.6,2466.13,510567,1259126114.1,26980,354180,69.37,9,2017,1261406830.2,0.004268119182146979,Slight or No change,2480.8821428571428,3408.302026604172,1553.462259110113
82,TCS,EQ,2017-09-11,2470.6,2471.2,2482.95,2450.0,2455.0,2454.45,2463.39,366382,902539941.4,17519,260179,71.01,9,2017,899266299.9,-0.006536873633935071,Slight or No change,2475.571428571428,3402.991312318458,1548.1515448243983
83,TCS,EQ,2017-09-12,2454.45,2473.9,2497.0,2457.0,2497.0,2488.45,2469.62,698230,1724359523.25,25758,552659,79.15,9,2017,1737510443.4999998,0.013852390555929128,Slight or No change,2474.9214285714274,3402.3413123184573,1547.5015448243978
84,TCS,EQ,2017-09-13,2488.45,2500.0,2531.65,2475.2,2492.7,2489.2,2504.48,639490,1601590314.25,32185,345028,53.95,9,2017,1591818508.0,0.0003013924330406148,Slight or No change,2474.9035714285706,3402.3234551756004,1547.483687681541
85,TCS,EQ,2017-09-14,2489.2,2482.0,2497.6,2471.9,2485.0,2486.95,2484.2,540755,1343342208.35,38222,389170,71.97,9,2017,1344830647.25,-0.0009039048690342444,Slight or No change,2474.214285714285,3401.6341694613147,1546.7944019672552
86,TCS,EQ,2017-09-15,2486.95,2499.0,2517.0,2485.0,2504.0,2506.05,2503.39,1472036,3685085664.3,57885,1204007,81.79,9,2017,3688995817.8,0.0076800900701663455,Slight or No change,2475.55357142857,3402.9734551756,1548.1336876815406
87,TCS,EQ,2017-09-18,2506.05,2504.95,2518.95,2489.25,2505.0,2499.05,2502.71,363300,909233455.5,34868,240697,66.25,9,2017,907904865.0,-0.002793240358332838,Slight or No change,2477.5678571428566,3404.9877408898865,1550.147973395827
88,TCS,EQ,2017-09-19,2499.05,2505.0,2505.0,2491.5,2498.0,2498.25,2496.55,391377,977092538.35,14036,296891,75.86,9,2017,977757590.25,-0.0003201216462256351,Slight or No change,2478.5464285714274,3405.9663123184573,1551.1265448243978
89,TCS,EQ,2017-09-20,2498.25,2514.0,2514.0,2474.3,2496.0,2493.55,2485.89,667321,1658884673.5,21548,536043,80.33,9,2017,1663998279.5500002,-0.0018813169218452328,Slight or No change,2478.346428571428,3405.7663123184575,1550.9265448243984
